customer_id,recency,frequency,monetary,weather_pct,cluster,segment
00012a2ce6f8dcda20d059ce98491703,294,1,114.74,0.0,2,inactive casual buyer
000161a058600d5901f007fab4c27140,415,1,67.41,0.0,2,inactive casual buyer
0001fd6190edaaf884bcaf3d49edf079,553,1,195.42,0.0,2,inactive casual buyer
0002414f95344307404f0ace7a26f1d5,384,1,179.35,0.0,2,inactive casual buyer
000379cdec625522490c315e70c7a9fb,155,1,107.01,0.0,0,recent casual buyer
0004164d20a9e969af783496f3408652,510,1,71.8,0.0,2,inactive casual buyer
00046a560d407e99b969756e0b10f282,260,1,166.59,0.0,2,inactive casual buyer
00050bf6e01e69d5c0fd612f1bcfb69c,352,1,85.23,0.0,2,inactive casual buyer
000598caf2ef4117407665ac33275130,24,1,1255.71,0.0,1,high spender
0005aefbb696d34b3424dccd0a0e9fd0,76,1,147.33,0.0,0,recent casual buyer
00062b33cb9f6fe976afdcff967ea74d,538,1,58.95,0.0,2,inactive casual buyer
00066ccbe787a588c52bd5ff404590e3,210,1,270.0,0.0,0,recent casual buyer
00072d033fe2e59061ae5c3aff1a2be5,368,1,106.97,0.0,2,inactive casual buyer
0009a69b72033b2d0ec8c69fc70ef768,494,1,173.6,0.0,2,inactive casual buyer
000bf8121c3412d3057d32371c5d3395,328,1,45.56,1.0,3,weather-triggered buyer
000e943451fc2788ca6ac98a682f2f49,502,1,106.23,0.0,2,inactive casual buyer
000f17e290c26b28549908a04cfe36c1,298,1,139.52,1.0,3,weather-triggered buyer
000fd45d6fedae68fc6676036610f879,142,1,66.81,1.0,3,weather-triggered buyer
0010068a73b7c56da5758c3f9e5c7375,511,1,54.83,0.0,2,inactive casual buyer
001028b78fd413e19704b3867c369d3a,145,1,37.61,0.0,0,recent casual buyer
00104a47c29da701ce41ee52077587d9,233,1,100.34,0.0,0,recent casual buyer
001051abfcfdbed9f87b4266213a5df1,97,1,65.2,0.0,0,recent casual buyer
00114026c1b7b52ab1773f317ef4880b,460,1,66.01,0.0,2,inactive casual buyer
001226b2341ef620415ce7bbafcfac28,340,1,47.53,0.0,2,inactive casual buyer
0013280441d86a4f7a8006efdaf1b0fe,239,1,162.15,1.0,3,weather-triggered buyer
0013cd8e350a7cc76873441e431dd5ee,120,1,92.6,0.0,0,recent casual buyer
001450ebb4a77efb3d68be5f7887cb1e,190,1,61.33,1.0,3,weather-triggered buyer
00146ad30454993879adaa91c518f68c,239,1,221.79,0.0,0,recent casual buyer
00155f0530cc7b2bf73cc3f81cb01c52,478,1,40.75,1.0,3,weather-triggered buyer
0015bc9fd2d5395446143e8b215d7c75,85,1,132.19,0.0,0,recent casual buyer
0015f7887e2fde13ddaa7b8e385af919,400,1,186.74,0.0,2,inactive casual buyer
0017a0b4c1f1bdb9c395fa0ac517109c,185,1,50.01,1.0,3,weather-triggered buyer
0018c09f333634ca9c80d9ff46e43e9c,65,1,56.87,0.0,0,recent casual buyer
0018f7fde63ca77254dbc47f4ea358b2,343,1,51.27,0.0,2,inactive casual buyer
001a57041f56400917a187dd74e6cbc1,230,1,53.72,1.0,3,weather-triggered buyer
001b4e9b73aa98a6276b241bfd496822,150,1,82.87,0.0,0,recent casual buyer
001c7f05398c45b42eee0d5a77783bca,145,1,21.94,0.0,0,recent casual buyer
001df1ee5c36767aa607001ab1a13a06,30,1,42.86,0.0,0,recent casual buyer
001f150aebb5d897f2059b0460c38449,118,1,125.97,0.0,0,recent casual buyer
001f35d9f262c558fd065346fbf5801d,222,1,46.53,0.0,0,recent casual buyer
001f6f1a5e902ad14e1f709a7215de11,574,1,34.86,0.0,2,inactive casual buyer
00205ad9ba1ef4340cef86583294cf82,115,1,928.7,1.0,1,high spender
002236c4f333bc8df6a5939749eb7869,225,1,69.84,0.0,0,recent casual buyer
002348c1099e3229276c8ad7d4ddc702,237,1,249.56,0.0,0,recent casual buyer
002408f390f729598bbac1ef9421c6ae,237,1,258.01,1.0,3,weather-triggered buyer
002450e9ea44cb90b8a07ba0b197e149,384,1,40.0,0.0,2,inactive casual buyer
002554bdf9eb99618d8189c3a89fdd52,22,1,244.08,0.0,0,recent casual buyer
0026955706fd4e2fa997f3f4c18d485a,15,1,121.9,0.0,0,recent casual buyer
0026d252429f669d454d726e5e956aa1,299,1,139.15,0.0,2,inactive casual buyer
002834b4d901534f48d9e9a72047b288,331,1,214.14,0.0,2,inactive casual buyer
0028ff36263a86bf679df7c863a0a0ba,145,1,74.94,0.0,0,recent casual buyer
002905287304e28c0218389269b4759b,44,1,31.7,0.0,0,recent casual buyer
002937abdae13680e17dccd3868b4825,284,1,43.55,0.0,2,inactive casual buyer
0029cdf064769cabdf3186b54d068c99,212,1,483.7,0.0,0,recent casual buyer
002a10e899b62a460b0116e0b68697ad,122,1,92.81,0.0,0,recent casual buyer
002b24cb2cd0c3e575040dbd278885e3,106,1,40.22,0.0,0,recent casual buyer
002c625393dfa194828b462a6ef8cb0b,289,1,371.87,0.0,2,inactive casual buyer
002ce108ccf0356ef5c8b1dce3c0ae29,90,1,185.6,0.0,0,recent casual buyer
002d358e2462f87678443706cbf2eb21,216,1,45.61,1.0,3,weather-triggered buyer
002d597546b2cf44428232c9f237f873,44,1,117.74,0.0,0,recent casual buyer
002ebb669a34b9e79c88efc755e95322,24,1,133.57,0.0,0,recent casual buyer
002ef7e55600d44ead53f7c1644e5222,77,1,199.02,0.0,0,recent casual buyer
002f067b028a3643ad3a0969c7a0f3dc,320,1,107.84,1.0,3,weather-triggered buyer
002ff70a5285669011090c077ef929af,30,1,81.14,0.0,0,recent casual buyer
00302a0b99783c3d1d1e81c616e321e8,162,1,159.48,0.0,0,recent casual buyer
0030aded3a67b29946a128ee8468388e,285,1,58.59,0.0,2,inactive casual buyer
0030fbb95fbe7e61f798a80edb01a8e9,299,1,26.85,1.0,3,weather-triggered buyer
00314f95a054231742e3c5396b333b88,239,1,59.34,0.0,0,recent casual buyer
003177b3eeca50af17750f53802c9a09,58,1,133.81,0.0,0,recent casual buyer
0031abfb953b66e998f67b09e7b11375,224,1,671.85,0.0,1,high spender
00330644cccc5db0276fa836976306fe,309,1,55.1,0.0,2,inactive casual buyer
00331de1659c7f4fb660c8810e6de3f5,260,1,243.69,0.0,2,inactive casual buyer
0033823ee55671ac5317d423291333c2,463,1,79.48,1.0,3,weather-triggered buyer
0034f7933de3ead6bd9ba49afe95f119,151,1,84.24,0.0,0,recent casual buyer
